Year,Total Housing Units,Median Sales Price,Total Population,Median Income Level
1993,187070,,,
1994,187440,,,
1995,186560,36500,,
1996,188100,36312.5,,
1997,189190,38799.375,,
1998,189520,42407.5,,
1999,190860,45285,,
2000,192570,48850,,
2001,193810,54243.75,422915,
2002,194920,64875,428221,28248
2003,197000,77375,436727,28917
2004,199150,93248.75,444925,29758
2005,201190,112852.5,455745,30234
2006,203240,128237.5,463749,30276
2007,208300,138498.75,470538,31090
2008,213940,135246.25,477408,30759
2009,216160,123682.5,483784,30730
2010,217870,124125,492598,29540
2011,218270,126500,502902,27851
2012,219280,126000,506869,27784
2013,221340,125875,510783,27575
2014,221850,132104.5,515360,27211
2015,222730,139237.5,523321,27746
2016,224570,147296.375,533446,28196
2017,226310,158624.375,536961,28196
2018,228300,169500,540675,28127
2019,230900,178318.875,545947,29404
2020,234290,195583.75,547340,29156
2021,238800,220625,550630,28620
